Time,Region,value
1950,World,2669402776.0145802
1951,World,2703009137.524668
1952,World,2737234437.282331
1953,World,2772092110.6540046
1954,World,2807595923.7868886
1955,World,2843759982.5571775
1956,World,2880598741.7795515
1957,World,2918127014.686087
1958,World,2956359982.683039
1959,World,2995313205.3942194
1960,World,3035002631.0
1961,World,3075998477.5
1962,World,3130479869.5
1963,World,3197114126.5
1964,World,3264182781.0
1965,World,3332008358.0
1966,World,3402337718.5
1967,World,3472518826.0
1968,World,3544355412.0
1969,World,3618631321.0
1970,World,3694115003.5
1971,World,3771841341.4
1972,World,3847545128.7999997
1973,World,3923992801.7000003
1974,World,3999906465.6
1975,World,4074070893.0
1976,World,4147147037.4
1977,World,4219902511.2999997
1978,World,4293904766.7000003
1979,World,4369849111.1
1980,World,4446440333.5
1981,World,4524991210.5
1982,World,4606759387.0
1983,World,4688954628.5
1984,World,4770761567.5
1985,World,4854244147.0
1986,World,4940249667.3
1987,World,5028607459.6
1988,World,5117748138.9
1989,World,5206974290.7
1990,World,5295815899.0
1991,World,5384957258.7
1992,World,5472620098.9
1993,World,5559092754.099999
1994,World,5644504993.3
1995,World,5729203982.0
1996,World,5814065364.5
1997,World,5898542894.5
1998,World,5982156957.0
1999,World,6064717456.0
2000,World,6146764861.5
2001,World,6228783945.9
2002,World,6310585978.8
2003,World,6391931931.2
2004,World,6473415829.6
2005,World,6555196859.0
2006,World,6637577880.5
2007,World,6720306237.0
2008,World,6804076648.0
2009,World,6888165017.0
2010,World,6972308674.5
2011,World,7056259587.6
2012,World,7143663308.2
2013,World,7231998508.8
2014,World,7320403720.9
2015,World,7407861054.4
2016,World,7494950298.9
2017,World,7581234138.9
2018,World,7664929716.9
2019,World,7745908081.4
2020,World,7824295524.9
2021,World,7891891689.9
2022,World,7957416555.643199
2023,World,8028088666.748091
2024,World,8101466028.634057
2025,World,8174271987.1305685
2026,World,8246244193.138945
2027,World,8311769720.392767
2028,World,8377295247.64659
2029,World,8442820774.900413
2030,World,8508346302.154235
2031,World,8566499773.646889
2032,World,8624653245.139544
2033,World,8682806716.632196
2034,World,8740960188.124851
2035,World,8799113659.617506
2036,World,8850045922.51894
2037,World,8900978185.420374
2038,World,8951910448.321808
2039,World,9002842711.223242
2040,World,9053774974.124676
2041,World,9097344650.902359
2042,World,9140914327.68004
2043,World,9184484004.457722
2044,World,9228053681.235405
2045,World,9271623358.013086
2046,World,9307169603.228107
2047,World,9342715848.44313
2048,World,9378262093.658154
2049,World,9413808338.873177
2050,World,9449354584.088198
2051,World,9476373285.804966
2052,World,9503391987.521734
2053,World,9530410689.238503
2054,World,9557429390.95527
2055,World,9584448092.672039
2056,World,9603197116.500286
2057,World,9621946140.328531
2058,World,9640695164.156776
2059,World,9659444187.985023
2060,World,9678193211.813269
2061,World,9689488978.377863
2062,World,9700784744.942455
2063,World,9712080511.50705
2064,World,9723376278.071642
2065,World,9734672044.636236
2066,World,9739374998.166794
2067,World,9744077951.697353
2068,World,9748780905.227911
2069,World,9753483858.75847
2070,World,9758186812.28903
2071,World,9756939813.148195
2072,World,9755692814.00736
2073,World,9754445814.866528
2074,World,9753198815.725693
2075,World,9751951816.58486
2076,World,9745148408.955917
2077,World,9738345001.326977
2078,World,9731541593.698036
2079,World,9724738186.069094
2080,World,9717934778.440153
2081,World,9706058581.767925
2082,World,9694182385.095695
2083,World,9682306188.423468
2084,World,9670429991.75124
2085,World,9658553795.079012
2086,World,9642252170.544182
2087,World,9625950546.009352
2088,World,9609648921.474522
2089,World,9593347296.93969
2090,World,9577045672.40486
2091,World,9556986120.477962
2092,World,9536926568.551064
2093,World,9516867016.624166
2094,World,9496807464.697268
2095,World,9476747912.770369
2096,World,9453206720.969137
2097,World,9429665529.167908
2098,World,9406124337.366676
2099,World,9382583145.565445
2100,World,9359041953.764214
