X;CountryCode;RegionCode
194;Senegal;SEN;SSA
195;Singapore;SGP;OAS
196;South Georgia and the South Sandwich Islands;SGS;LAM
197;Saint Helena, Ascension and Tristan da Cunha;SHN;SSA
198;Svalbard and Jan Mayen;SJM;NEU
199;Solomon Islands;SLB;OAS
200;Sierra Leone;SLE;SSA
201;El Salvador;SLV;LAM
202;San Marino;SMR;NEU
203;Somalia;SOM;SSA
204;Saint Pierre and Miquelon;SPM;CAZ
205;Serbia;SRB;NEU
206;South Sudan;SSD;SSA
207;Sao Tome and Principe;STP;SSA
208;Suriname;SUR;LAM
209;Slovakia;SVK;EUR
210;Slovenia;SVN;EUR
211;Sweden;SWE;EUR
212;Swaziland;SWZ;SSA
213;Sint Maarten (Dutch part);SXM;LAM
214;Seychelles;SYC;SSA
215;Syrian Arab Republic;SYR;MEA
216;Turks and Caicos Islands;TCA;LAM
217;Chad;TCD;SSA
218;Togo;TGO;SSA
219;Thailand;THA;OAS
220;Tajikistan;TJK;REF
221;Tokelau;TKL;OAS
222;Turkmenistan;TKM;REF
223;Timor-Leste;TLS;OAS
224;Tonga;TON;OAS
225;Trinidad and Tobago;TTO;LAM
226;Tunisia;TUN;MEA
227;Turkey;TUR;NEU
228;Tuvalu;TUV;OAS
229;Taiwan, Province of China;TWN;CHA
230;Tanzania, United Republic of;TZA;SSA
231;Uganda;UGA;SSA
232;Ukraine;UKR;REF
233;United States Minor Outlying Islands;UMI;OAS
234;Uruguay;URY;LAM
235;United States;USA;USA
236;Uzbekistan;UZB;REF
237;Holy See (Vatican City State);VAT;NEU
238;Saint Vincent and the Grenadines;VCT;LAM
239;Venezuela, Bolivarian Republic of;VEN;LAM
240;Virgin Islands, British;VGB;LAM
241;Virgin Islands, U.S.;VIR;LAM
242;Viet Nam;VNM;OAS
243;Vanuatu;VUT;OAS
244;Wallis and Futuna;WLF;OAS
245;Samoa;WSM;OAS
246;Yemen;YEM;MEA
247;South Africa;ZAF;SSA
248;Zambia;ZMB;SSA
249;Zimbabwe;ZWE;SSA
