* description: Population SSPs data: use past data from 'Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SSPs data completed with Population UN_PopDiv data completed with Population MI data'. || Population SDPs data: use past data from 'Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SDPs data completed with Population UN_PopDiv data completed with Population MI data'. || Population SSP2EU data: use past data from 'Population Eurostat data completed with Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SSP2EU data completed with Population UN_PopDiv data completed with Population MI data'. For European countries, just glue past with future.
* unit: million || million || million
* origin: calcOutput(type = "Population", aggregate = FALSE, file = "population.csv") (madrat 3.3.3 | mrdrivers 1.2.0)
* creation date: Mon Jun 12 15:18:09 2023
dummy,dummy,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5,pop_SDP,pop_SDP_EI,pop_SDP_MC,pop_SDP_RC,pop_SSP2EU
y1960,ABW,0.054608,0.054608,0.054608,0.054608,0.054608,0.054608,0.054608,0.054608,0.054608,0.054608
y1960,AFG,8.622466,8.622466,8.622466,8.622466,8.622466,8.622466,8.622466,8.622466,8.622466,8.622466
y1960,AGO,5.357195,5.357195,5.357195,5.357195,5.357195,5.357195,5.357195,5.357195,5.357195,5.357195
y1960,AIA,0.005752,0.005752,0.005752,0.005752,0.005752,0.005752,0.005752,0.005752,0.005752,0.005752
y1960,ALA,0.021296,0.021296,0.021296,0.021296,0.021296,0.021296,0.021296,0.021296,0.021296,0.021296
y1960,ALB,1.6088,1.6088,1.6088,1.6088,1.6088,1.6088,1.6088,1.6088,1.6088,1.6088
y1960,AND,0.009443,0.009443,0.009443,0.009443,0.009443,0.009443,0.009443,0.009443,0.009443,0.009443
y1960,ARE,0.133426,0.133426,0.133426,0.133426,0.133426,0.133426,0.133426,0.133426,0.133426,0.133426
y1960,ARG,20.349744,20.349744,20.349744,20.349744,20.349744,20.349744,20.349744,20.349744,20.349744,20.349744
y1960,ARM,1.904148,1.904148,1.904148,1.904148,1.904148,1.904148,1.904148,1.904148,1.904148,1.904148
y1960,ASM,0.020085,0.020085,0.020085,0.020085,0.020085,0.020085,0.020085,0.020085,0.020085,0.020085
y1960,ATA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
y1960,ATF,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05,5.9e-05
y1960,ATG,0.055342,0.055342,0.055342,0.055342,0.055342,0.055342,0.055342,0.055342,0.055342,0.055342
y1960,AUS,10.276477,10.276477,10.276477,10.276477,10.276477,10.276477,10.276477,10.276477,10.276477,10.276477
y1960,AUT,7.047539,7.047539,7.047539,7.047539,7.047539,7.047539,7.047539,7.047539,7.047539,7.047539
y1960,AZE,3.8945,3.8945,3.8945,3.8945,3.8945,3.8945,3.8945,3.8945,3.8945,3.8945
y1960,BDI,2.746628,2.746628,2.746628,2.746628,2.746628,2.746628,2.746628,2.746628,2.746628,2.746628
y1960,BEL,9.153489,9.153489,9.153489,9.153489,9.153489,9.153489,9.153489,9.153489,9.153489,9.153489
y1960,BEN,2.512284,2.512284,2.512284,2.512284,2.512284,2.512284,2.512284,2.512284,2.512284,2.512284
y1960,BES,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785,0.0076785
y1960,BFA,4.783259,4.783259,4.783259,4.783259,4.783259,4.783259,4.783259,4.783259,4.783259,4.783259
y1960,BGD,50.396429,50.396429,50.396429,50.396429,50.396429,50.396429,50.396429,50.396429,50.396429,50.396429
y1960,BGR,7.867374,7.867374,7.867374,7.867374,7.867374,7.867374,7.867374,7.867374,7.867374,7.867374
y1960,BHR,0.160691,0.160691,0.160691,0.160691,0.160691,0.160691,0.160691,0.160691,0.160691,0.160691
y1960,BHS,0.1145,0.1145,0.1145,0.1145,0.1145,0.1145,0.1145,0.1145,0.1145,0.1145
y1960,BIH,3.262539,3.262539,3.262539,3.262539,3.262539,3.262539,3.262539,3.262539,3.262539,3.262539
y1960,BLM,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935,0.0021935
y1960,BLR,8.198,8.198,8.198,8.198,8.198,8.198,8.198,8.198,8.198,8.198
y1960,BLZ,0.091403,0.091403,0.091403,0.091403,0.091403,0.091403,0.091403,0.091403,0.091403,0.091403
y1960,BMU,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444,0.0444
y1960,BOL,3.707515,3.707515,3.707515,3.707515,3.707515,3.707515,3.707515,3.707515,3.707515,3.707515
y1960,BRA,73.092515,73.092515,73.092515,73.092515,73.092515,73.092515,73.092515,73.092515,73.092515,73.092515
y1960,BRB,0.23255,0.23255,0.23255,0.23255,0.23255,0.23255,0.23255,0.23255,0.23255,0.23255
y1960,BRN,0.085346,0.085346,0.085346,0.085346,0.085346,0.085346,0.085346,0.085346,0.085346,0.085346
y1960,BTN,0.221266,0.221266,0.221266,0.221266,0.221266,0.221266,0.221266,0.221266,0.221266,0.221266
y1960,BVT,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
y1960,BWA,0.512865,0.512865,0.512865,0.512865,0.512865,0.512865,0.512865,0.512865,0.512865,0.512865
y1960,CAF,1.679728,1.679728,1.679728,1.679728,1.679728,1.679728,1.679728,1.679728,1.679728,1.679728
y1960,CAN,17.909356,17.909356,17.909356,17.909356,17.909356,17.909356,17.909356,17.909356,17.909356,17.909356
y1960,CCK,0.001211,0.001211,0.001211,0.001211,0.001211,0.001211,0.001211,0.001211,0.001211,0.001211
y1960,CHE,5.327827,5.327827,5.327827,5.327827,5.327827,5.327827,5.327827,5.327827,5.327827,5.327827
y1960,CHL,8.14182,8.14182,8.14182,8.14182,8.14182,8.14182,8.14182,8.14182,8.14182,8.14182
y1960,CHN,667.07,667.07,667.07,667.07,667.07,667.07,667.07,667.07,667.07,667.07
y1960,CIV,3.708661,3.708661,3.708661,3.708661,3.708661,3.708661,3.708661,3.708661,3.708661,3.708661
y1960,CMR,5.117608,5.117608,5.117608,5.117608,5.117608,5.117608,5.117608,5.117608,5.117608,5.117608
y1960,COD,15.276558,15.276558,15.276558,15.276558,15.276558,15.276558,15.276558,15.276558,15.276558,15.276558
y1960,COG,1.055693,1.055693,1.055693,1.055693,1.055693,1.055693,1.055693,1.055693,1.055693,1.055693
y1960,COK,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315,0.0176315
y1960,COL,15.687688,15.687688,15.687688,15.687688,15.687688,15.687688,15.687688,15.687688,15.687688,15.687688
y1960,COM,0.194852,0.194852,0.194852,0.194852,0.194852,0.194852,0.194852,0.194852,0.194852,0.194852
y1960,CPV,0.209849,0.209849,0.209849,0.209849,0.209849,0.209849,0.209849,0.209849,0.209849,0.209849
y1960,CRI,1.346302,1.346302,1.346302,1.346302,1.346302,1.346302,1.346302,1.346302,1.346302,1.346302
y1960,CUB,7.267395,7.267395,7.267395,7.267395,7.267395,7.267395,7.267395,7.267395,7.267395,7.267395
y1960,CUW,0.124826,0.124826,0.124826,0.124826,0.124826,0.124826,0.124826,0.124826,0.124826,0.124826
y1960,CXR,0.003718,0.003718,0.003718,0.003718,0.003718,0.003718,0.003718,0.003718,0.003718,0.003718
y1960,CYM,0.008473,0.008473,0.008473,0.008473,0.008473,0.008473,0.008473,0.008473,0.008473,0.008473
y1960,CYP,0.585725,0.585725,0.585725,0.585725,0.585725,0.585725,0.585725,0.585725,0.585725,0.572783
y1960,CZE,9.602006,9.602006,9.602006,9.602006,9.602006,9.602006,9.602006,9.602006,9.602006,9.602006
