* description: Population SSPs data: use past data from 'Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SSPs data completed with Population UN_PopDiv data completed with Population MI data'. || Population SDPs data: use past data from 'Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SDPs data completed with Population UN_PopDiv data completed with Population MI data'. || Population SSP2EU data: use past data from 'Population Eurostat data completed with Population WDI data completed with Population UN_PopDiv data completed with Population MI data', then the growth rates from the Wolrld Bank's PEAP until 2026, and then the growth rates from 'Population SSP2EU data completed with Population UN_PopDiv data completed with Population MI data'. For European countries, just glue past with future.
* unit: million || million || million
* origin: calcOutput(type = "Population", aggregate = FALSE, file = "population.csv") (madrat 3.3.3 | mrdrivers 1.2.0)
* creation date: Mon Jun 12 15:18:09 2023
dummy,dummy,pop_SSP1,pop_SSP2,pop_SSP3,pop_SSP4,pop_SSP5,pop_SDP,pop_SDP_EI,pop_SDP_MC,pop_SDP_RC,pop_SSP2EU
y1960,DEU,72.8149,72.8149,72.8149,72.8149,72.8149,72.8149,72.8149,72.8149,72.8149,72.8149
y1960,DJI,0.08594,0.08594,0.08594,0.08594,0.08594,0.08594,0.08594,0.08594,0.08594,0.08594
y1960,DMA,0.059379,0.059379,0.059379,0.059379,0.059379,0.059379,0.059379,0.059379,0.059379,0.059379
y1960,DNK,4.579603,4.579603,4.579603,4.579603,4.579603,4.579603,4.579603,4.579603,4.579603,4.579603
y1960,DOM,3.298021,3.298021,3.298021,3.298021,3.298021,3.298021,3.298021,3.298021,3.298021,3.298021
y1960,DZA,11.394307,11.394307,11.394307,11.394307,11.394307,11.394307,11.394307,11.394307,11.394307,11.394307
y1960,ECU,4.618158,4.618158,4.618158,4.618158,4.618158,4.618158,4.618158,4.618158,4.618158,4.618158
y1960,EGY,27.034499,27.034499,27.034499,27.034499,27.034499,27.034499,27.034499,27.034499,27.034499,27.034499
y1960,ERI,0.993568,0.993568,0.993568,0.993568,0.993568,0.993568,0.993568,0.993568,0.993568,0.993568
y1960,ESH,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235,0.0330235
y1960,ESP,30.455,30.455,30.455,30.455,30.455,30.455,30.455,30.455,30.455,30.455
y1960,EST,1.211537,1.211537,1.211537,1.211537,1.211537,1.211537,1.211537,1.211537,1.211537,1.211537
y1960,ETH,21.73971,21.73971,21.73971,21.73971,21.73971,21.73971,21.73971,21.73971,21.73971,21.73971
y1960,FIN,4.429634,4.429634,4.429634,4.429634,4.429634,4.429634,4.429634,4.429634,4.429634,4.429634
y1960,FJI,0.401841,0.401841,0.401841,0.401841,0.401841,0.401841,0.401841,0.401841,0.401841,0.401841
y1960,FLK,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655,0.0022655
y1960,FRA,46.649927,46.649927,46.649927,46.649927,46.649927,46.649927,46.649927,46.649927,46.649927,46.6974881576369
y1960,FRO,0.034154,0.034154,0.034154,0.034154,0.034154,0.034154,0.034154,0.034154,0.034154,0.034154
y1960,FSM,0.042986,0.042986,0.042986,0.042986,0.042986,0.042986,0.042986,0.042986,0.042986,0.042986
y1960,GAB,0.51334,0.51334,0.51334,0.51334,0.51334,0.51334,0.51334,0.51334,0.51334,0.51334
y1960,GBR,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
y1960,GEO,3.6456,3.6456,3.6456,3.6456,3.6456,3.6456,3.6456,3.6456,3.6456,3.6456
y1960,GGY,0.046698,0.046698,0.046698,0.046698,0.046698,0.046698,0.046698,0.046698,0.046698,0.046698
y1960,GHA,6.91151,6.91151,6.91151,6.91151,6.91151,6.91151,6.91151,6.91151,6.91151,6.91151
y1960,GIB,0.021822,0.021822,0.021822,0.021822,0.021822,0.021822,0.021822,0.021822,0.021822,0.021822
y1960,GIN,3.516814,3.516814,3.516814,3.516814,3.516814,3.516814,3.516814,3.516814,3.516814,3.516814
y1960,GLP,0.276974,0.276974,0.276974,0.276974,0.276974,0.276974,0.276974,0.276974,0.276974,0.276974
y1960,GMB,0.399649,0.399649,0.399649,0.399649,0.399649,0.399649,0.399649,0.399649,0.399649,0.399649
y1960,GNB,0.577933,0.577933,0.577933,0.577933,0.577933,0.577933,0.577933,0.577933,0.577933,0.577933
y1960,GNQ,0.267351,0.267351,0.267351,0.267351,0.267351,0.267351,0.267351,0.267351,0.267351,0.267351
y1960,GRC,8.331725,8.331725,8.331725,8.331725,8.331725,8.331725,8.331725,8.331725,8.331725,8.331725
y1960,GRD,0.093772,0.093772,0.093772,0.093772,0.093772,0.093772,0.093772,0.093772,0.093772,0.093772
y1960,GRL,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325,0.0325
y1960,GTM,4.12888,4.12888,4.12888,4.12888,4.12888,4.12888,4.12888,4.12888,4.12888,4.12888
y1960,GUF,0.031125,0.031125,0.031125,0.031125,0.031125,0.031125,0.031125,0.031125,0.031125,0.031125
y1960,GUM,0.072374,0.072374,0.072374,0.072374,0.072374,0.072374,0.072374,0.072374,0.072374,0.072374
y1960,GUY,0.57199,0.57199,0.57199,0.57199,0.57199,0.57199,0.57199,0.57199,0.57199,0.57199
y1960,HKG,3.114671,3.114671,3.114671,3.114671,3.114671,3.114671,3.114671,3.114671,3.114671,3.114671
y1960,HMD,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
y1960,HND,2.078617,2.078617,2.078617,2.078617,2.078617,2.078617,2.078617,2.078617,2.078617,2.078617
y1960,HRV,4.140181,4.140181,4.140181,4.140181,4.140181,4.140181,4.140181,4.140181,4.140181,4.140181
y1960,HTI,3.901139,3.901139,3.901139,3.901139,3.901139,3.901139,3.901139,3.901139,3.901139,3.901139
y1960,HUN,9.983967,9.983967,9.983967,9.983967,9.983967,9.983967,9.983967,9.983967,9.983967,9.983512
y1960,IDN,88.382881,88.382881,88.382881,88.382881,88.382881,88.382881,88.382881,88.382881,88.382881,88.382881
y1960,IMN,0.048793,0.048793,0.048793,0.048793,0.048793,0.048793,0.048793,0.048793,0.048793,0.048793
y1960,IND,445.954579,445.954579,445.954579,445.954579,445.954579,445.954579,445.954579,445.954579,445.954579,445.954579
y1960,IOT,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
y1960,IRL,2.8286,2.8286,2.8286,2.8286,2.8286,2.8286,2.8286,2.8286,2.8286,2.8286
y1960,IRN,21.388806,21.388806,21.388806,21.388806,21.388806,21.388806,21.388806,21.388806,21.388806,21.388806
y1960,IRQ,7.084678,7.084678,7.084678,7.084678,7.084678,7.084678,7.084678,7.084678,7.084678,7.084678
y1960,ISL,0.175574,0.175574,0.175574,0.175574,0.175574,0.175574,0.175574,0.175574,0.175574,0.175574
y1960,ISR,2.11402,2.11402,2.11402,2.11402,2.11402,2.11402,2.11402,2.11402,2.11402,2.11402
y1960,ITA,50.1997,50.1997,50.1997,50.1997,50.1997,50.1997,50.1997,50.1997,50.1997,50.1997
y1960,JAM,1.642331,1.642331,1.642331,1.642331,1.642331,1.642331,1.642331,1.642331,1.642331,1.642331
y1960,JEY,0.109186,0.109186,0.109186,0.109186,0.109186,0.109186,0.109186,0.109186,0.109186,0.109186
y1960,JOR,0.847936,0.847936,0.847936,0.847936,0.847936,0.847936,0.847936,0.847936,0.847936,0.847936
y1960,JPN,93.216,93.216,93.216,93.216,93.216,93.216,93.216,93.216,93.216,93.216
y1960,KAZ,9.319283,9.319283,9.319283,9.319283,9.319283,9.319283,9.319283,9.319283,9.319283,9.319283
y1960,KEN,7.751435,7.751435,7.751435,7.751435,7.751435,7.751435,7.751435,7.751435,7.751435,7.751435
y1960,KGZ,2.1723,2.1723,2.1723,2.1723,2.1723,2.1723,2.1723,2.1723,2.1723,2.1723
y1960,KHM,5.541676,5.541676,5.541676,5.541676,5.541676,5.541676,5.541676,5.541676,5.541676,5.541676
y1960,KIR,0.047093,0.047093,0.047093,0.047093,0.047093,0.047093,0.047093,0.047093,0.047093,0.047093
y1960,KNA,0.05666,0.05666,0.05666,0.05666,0.05666,0.05666,0.05666,0.05666,0.05666,0.05666
y1960,KOR,25.012374,25.012374,25.012374,25.012374,25.012374,25.012374,25.012374,25.012374,25.012374,25.012374
y1960,KWT,0.305415,0.305415,0.305415,0.305415,0.305415,0.305415,0.305415,0.305415,0.305415,0.305415
y1960,LAO,2.122532,2.122532,2.122532,2.122532,2.122532,2.122532,2.122532,2.122532,2.122532,2.122532
y1960,LBN,1.798092,1.798092,1.798092,1.798092,1.798092,1.798092,1.798092,1.798092,1.798092,1.798092
y1960,LBR,1.137026,1.137026,1.137026,1.137026,1.137026,1.137026,1.137026,1.137026,1.137026,1.137026
y1960,LBY,1.426986,1.426986,1.426986,1.426986,1.426986,1.426986,1.426986,1.426986,1.426986,1.426986
y1960,LCA,0.091614,0.091614,0.091614,0.091614,0.091614,0.091614,0.091614,0.091614,0.091614,0.091614
y1960,LIE,0.016472,0.016472,0.016472,0.016472,0.016472,0.016472,0.016472,0.016472,0.016472,0.016472
y1960,LKA,9.874476,9.874476,9.874476,9.874476,9.874476,9.874476,9.874476,9.874476,9.874476,9.874476
y1960,LSO,0.737838,0.737838,0.737838,0.737838,0.737838,0.737838,0.737838,0.737838,0.737838,0.737838
y1960,LTU,2.77855,2.77855,2.77855,2.77855,2.77855,2.77855,2.77855,2.77855,2.77855,2.77855
y1960,LUX,0.31397,0.31397,0.31397,0.31397,0.31397,0.31397,0.31397,0.31397,0.31397,0.31397
y1960,LVA,2.120979,2.120979,2.120979,2.120979,2.120979,2.120979,2.120979,2.120979,2.120979,2.120979
y1960,MAC,0.177014,0.177014,0.177014,0.177014,0.177014,0.177014,0.177014,0.177014,0.177014,0.177014
y1960,MAF,0.004135,0.004135,0.004135,0.004135,0.004135,0.004135,0.004135,0.004135,0.004135,0.004135
y1960,MAR,11.769774,11.769774,11.769774,11.769774,11.769774,11.769774,11.769774,11.769774,11.769774,11.769774
y1960,MCO,0.021797,0.021797,0.021797,0.021797,0.021797,0.021797,0.021797,0.021797,0.021797,0.021797
y1960,MDA,2.074015,2.074015,2.074015,2.074015,2.074015,2.074015,2.074015,2.074015,2.074015,2.074015
y1960,MDG,5.073342,5.073342,5.073342,5.073342,5.073342,5.073342,5.073342,5.073342,5.073342,5.073342
y1960,MDV,0.09165,0.09165,0.09165,0.09165,0.09165,0.09165,0.09165,0.09165,0.09165,0.09165
y1960,MEX,36.268055,36.268055,36.268055,36.268055,36.268055,36.268055,36.268055,36.268055,36.268055,36.268055
y1960,MHL,0.015374,0.015374,0.015374,0.015374,0.015374,0.015374,0.015374,0.015374,0.015374,0.015374
y1960,MKD,1.462368,1.462368,1.462368,1.462368,1.462368,1.462368,1.462368,1.462368,1.462368,1.462368
y1960,MLI,5.346792,5.346792,5.346792,5.346792,5.346792,5.346792,5.346792,5.346792,5.346792,5.346792
y1960,MLT,0.32655,0.32655,0.32655,0.32655,0.32655,0.32655,0.32655,0.32655,0.32655,0.32655
y1960,MMR,21.720697,21.720697,21.720697,21.720697,21.720697,21.720697,21.720697,21.720697,21.720697,21.720697
y1960,MNE,0.480579,0.480579,0.480579,0.480579,0.480579,0.480579,0.480579,0.480579,0.480579,0.480579
y1960,MNG,0.977903,0.977903,0.977903,0.977903,0.977903,0.977903,0.977903,0.977903,0.977903,0.977903
y1960,MNP,0.008702,0.008702,0.008702,0.008702,0.008702,0.008702,0.008702,0.008702,0.008702,0.008702
y1960,MOZ,6.788375,6.788375,6.788375,6.788375,6.788375,6.788375,6.788375,6.788375,6.788375,6.788375
y1960,MRT,0.838478,0.838478,0.838478,0.838478,0.838478,0.838478,0.838478,0.838478,0.838478,0.838478
y1960,MSR,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121,0.0121
y1960,MTQ,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925,0.2900925
y1960,MUS,0.676683,0.676683,0.676683,0.676683,0.676683,0.676683,0.676683,0.676683,0.676683,0.676683
y1960,MWI,3.621081,3.621081,3.621081,3.621081,3.621081,3.621081,3.621081,3.621081,3.621081,3.621081
y1960,MYS,7.833782,7.833782,7.833782,7.833782,7.833782,7.833782,7.833782,7.833782,7.833782,7.833782
y1960,MYT,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645,0.0261645
y1960,NAM,0.590181,0.590181,0.590181,0.590181,0.590181,0.590181,0.590181,0.590181,0.590181,0.590181
y1960,NCL,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079,0.079
y1960,NER,3.497431,3.497431,3.497431,3.497431,3.497431,3.497431,3.497431,3.497431,3.497431,3.497431
y1960,NFK,0.001251,0.001251,0.001251,0.001251,0.001251,0.001251,0.001251,0.001251,0.001251,0.001251
y1960,NGA,44.928342,44.928342,44.928342,44.928342,44.928342,44.928342,44.928342,44.928342,44.928342,44.928342
y1960,NIC,1.789684,1.789684,1.789684,1.789684,1.789684,1.789684,1.789684,1.789684,1.789684,1.789684
y1960,NIU,0.004876,0.004876,0.004876,0.004876,0.004876,0.004876,0.004876,0.004876,0.004876,0.004876
y1960,NLD,11.486631,11.486631,11.486631,11.486631,11.486631,11.486631,11.486631,11.486631,11.486631,11.486631
y1960,NOR,3.581239,3.581239,3.581239,3.581239,3.581239,3.581239,3.581239,3.581239,3.581239,3.581239
y1960,NPL,10.167941,10.167941,10.167941,10.167941,10.167941,10.167941,10.167941,10.167941,10.167941,10.167941
y1960,NRU,0.004582,0.004582,0.004582,0.004582,0.004582,0.004582,0.004582,0.004582,0.004582,0.004582
y1960,NZL,2.3718,2.3718,2.3718,2.3718,2.3718,2.3718,2.3718,2.3718,2.3718,2.3718
y1960,OMN,0.536553,0.536553,0.536553,0.536553,0.536553,0.536553,0.536553,0.536553,0.536553,0.536553
y1960,PAK,45.954226,45.954226,45.954226,45.954226,45.954226,45.954226,45.954226,45.954226,45.954226,45.954226
y1960,PAN,1.126989,1.126989,1.126989,1.126989,1.126989,1.126989,1.126989,1.126989,1.126989,1.126989
y1960,PCN,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05
y1960,PER,10.172207,10.172207,10.172207,10.172207,10.172207,10.172207,10.172207,10.172207,10.172207,10.172207
y1960,PHL,28.486871,28.486871,28.486871,28.486871,28.486871,28.486871,28.486871,28.486871,28.486871,28.486871
y1960,PLW,0.009446,0.009446,0.009446,0.009446,0.009446,0.009446,0.009446,0.009446,0.009446,0.009446
y1960,PNG,1.985666,1.985666,1.985666,1.985666,1.985666,1.985666,1.985666,1.985666,1.985666,1.985666
y1960,POL,29.63745,29.63745,29.63745,29.63745,29.63745,29.63745,29.63745,29.63745,29.63745,29.63745
y1960,PRI,2.358,2.358,2.358,2.358,2.358,2.358,2.358,2.358,2.358,2.358
y1960,PRK,11.655666,11.655666,11.655666,11.655666,11.655666,11.655666,11.655666,11.655666,11.655666,11.655666
y1960,PRT,8.857716,8.857716,8.857716,8.857716,8.857716,8.857716,8.857716,8.857716,8.857716,8.857716
y1960,PRY,1.894829,1.894829,1.894829,1.894829,1.894829,1.894829,1.894829,1.894829,1.894829,1.894829
y1960,PSE,1.978248,1.978248,1.978248,1.978248,1.978248,1.978248,1.978248,1.978248,1.978248,1.978248
y1960,PYF,0.084851,0.084851,0.084851,0.084851,0.084851,0.084851,0.084851,0.084851,0.084851,0.084851
y1960,QAT,0.036385,0.036385,0.036385,0.036385,0.036385,0.036385,0.036385,0.036385,0.036385,0.036385
y1960,REU,0.365994,0.365994,0.365994,0.365994,0.365994,0.365994,0.365994,0.365994,0.365994,0.365994
y1960,ROU,18.406905,18.406905,18.406905,18.406905,18.406905,18.406905,18.406905,18.406905,18.406905,18.406905
y1960,RUS,119.897,119.897,119.897,119.897,119.897,119.897,119.897,119.897,119.897,119.897
y1960,RWA,2.966162,2.966162,2.966162,2.966162,2.966162,2.966162,2.966162,2.966162,2.966162,2.966162
y1960,SAU,4.165563,4.165563,4.165563,4.165563,4.165563,4.165563,4.165563,4.165563,4.165563,4.165563
y1960,SDN,8.326462,8.326462,8.326462,8.326462,8.326462,8.326462,8.326462,8.326462,8.326462,8.326462
y1960,SEN,3.273177,3.273177,3.273177,3.273177,3.273177,3.273177,3.273177,3.273177,3.273177,3.273177
y1960,SGP,1.6464,1.6464,1.6464,1.6464,1.6464,1.6464,1.6464,1.6464,1.6464,1.6464
y1960,SGS,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05,3e-05
y1960,SHN,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368,0.005368
y1960,SJM,0.001878,0.001878,0.001878,0.001878,0.001878,0.001878,0.001878,0.001878,0.001878,0.001878
y1960,SLB,0.13344,0.13344,0.13344,0.13344,0.13344,0.13344,0.13344,0.13344,0.13344,0.13344
y1960,SLE,2.30131,2.30131,2.30131,2.30131,2.30131,2.30131,2.30131,2.30131,2.30131,2.30131
y1960,SLV,2.779327,2.779327,2.779327,2.779327,2.779327,2.779327,2.779327,2.779327,2.779327,2.779327
y1960,SMR,0.015556,0.015556,0.015556,0.015556,0.015556,0.015556,0.015556,0.015556,0.015556,0.015556
y1960,SOM,2.870732,2.870732,2.870732,2.870732,2.870732,2.870732,2.870732,2.870732,2.870732,2.870732
y1960,SPM,0.004925,0.004925,0.004925,0.004925,0.004925,0.004925,0.004925,0.004925,0.004925,0.004925
y1960,SRB,7.555,7.555,7.555,7.555,7.555,7.555,7.555,7.555,7.555,7.555
y1960,SSD,2.907724,2.907724,2.907724,2.907724,2.907724,2.907724,2.907724,2.907724,2.907724,2.907724
y1960,STP,0.068038,0.068038,0.068038,0.068038,0.068038,0.068038,0.068038,0.068038,0.068038,0.068038
y1960,SUR,0.268396,0.268396,0.268396,0.268396,0.268396,0.268396,0.268396,0.268396,0.268396,0.268396
y1960,SVK,4.068095,4.068095,4.068095,4.068095,4.068095,4.068095,4.068095,4.068095,4.068095,4.068095
y1960,SVN,1.58472,1.58472,1.58472,1.58472,1.58472,1.58472,1.58472,1.58472,1.58472,1.58472
y1960,SWE,7.484656,7.484656,7.484656,7.484656,7.484656,7.484656,7.484656,7.484656,7.484656,7.484656
y1960,SWZ,0.345065,0.345065,0.345065,0.345065,0.345065,0.345065,0.345065,0.345065,0.345065,0.345065
y1960,SXM,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646,0.002646
y1960,SYC,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417
y1960,SYR,4.610712,4.610712,4.610712,4.610712,4.610712,4.610712,4.610712,4.610712,4.610712,4.610712
y1960,TCA,0.005604,0.005604,0.005604,0.005604,0.005604,0.005604,0.005604,0.005604,0.005604,0.005604
y1960,TCD,3.028688,3.028688,3.028688,3.028688,3.028688,3.028688,3.028688,3.028688,3.028688,3.028688
y1960,TGO,1.651367,1.651367,1.651367,1.651367,1.651367,1.651367,1.651367,1.651367,1.651367,1.651367
y1960,THA,26.596584,26.596584,26.596584,26.596584,26.596584,26.596584,26.596584,26.596584,26.596584,26.596584
y1960,TJK,2.131992,2.131992,2.131992,2.131992,2.131992,2.131992,2.131992,2.131992,2.131992,2.131992
y1960,TKL,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795,0.001795
y1960,TKM,1.602052,1.602052,1.602052,1.602052,1.602052,1.602052,1.602052,1.602052,1.602052,1.602052
