Time,Region,value
2009,CAZ,0.786032
2009,CHA,5.592101
2009,IND,0.953251
2009,JPN,0.971406
2009,USA,2.081726
2010,LAM,3.011583
2010,OAS,6.674625
2010,SSA,3.545514
2010,EUR,13.100918
2010,NEU,1.506089
2010,MEA,1.221511
2010,REF,0.405704
2010,CAZ,0.822864
2010,CHA,8.850441
2010,IND,1.028257
2010,JPN,1.219455
2010,USA,2.547008
2011,LAM,1.237462
2011,OAS,6.55804
2011,SSA,1.476524
2011,EUR,13.399124
2011,NEU,1.637694
2011,MEA,1.570706
2011,REF,0.413595
2011,CAZ,0.828573
2011,CHA,10.124642
2011,IND,1.705737
2011,JPN,1.175526
2011,USA,2.65923
2012,LAM,1.289143
2012,OAS,5.971181
2012,SSA,0.794593
2012,EUR,13.324029
2012,NEU,1.707553
2012,MEA,1.527167
2012,REF,0.543807
2012,CAZ,0.792876
2012,CHA,10.622294
2012,IND,1.60534
2012,JPN,1.092616
2012,USA,2.575206
2013,LAM,1.254868
2013,OAS,6.718377
2013,SSA,0.217077
2013,EUR,13.799295
2013,NEU,1.880379
2013,MEA,2.075716
2013,REF,0.574795
2013,CAZ,0.810336
2013,CHA,11.750803
2013,IND,1.798821
2013,JPN,1.096671
2013,USA,2.618915
2014,LAM,1.67287
2014,OAS,7.179591
2014,SSA,0.200022
2014,EUR,13.95115
2014,NEU,2.027464
2014,MEA,2.048088
2014,REF,0.565181
2014,CAZ,0.814725
2014,CHA,11.255249
2014,IND,1.822007
2014,JPN,1.110032
2014,USA,2.72159
2015,LAM,1.112382
2015,OAS,6.914688
2015,SSA,0.210536
2015,EUR,14.531424
2015,NEU,2.009382
2015,MEA,1.712065
2015,REF,0.580832
2015,CAZ,0.556318
2015,CHA,13.753007
2015,IND,1.775835
2015,JPN,1.085647
2015,USA,2.669392
2016,LAM,1.172501
2016,OAS,7.095909
2016,SSA,0.229895
2016,EUR,14.733107
2016,NEU,1.947278
2016,MEA,1.79245
2016,REF,0.634811
2016,CAZ,0.61694
2016,CHA,10.858144
2016,IND,1.90558
2016,JPN,1.044614
2016,USA,1.351621
2017,LAM,1.22282
2017,OAS,7.501774
2017,SSA,0.251149
2017,EUR,14.738962
2017,NEU,2.055899
2017,MEA,1.92623
2017,REF,0.844778
2017,CAZ,0.95636
2017,CHA,16.173425
2017,IND,1.99167
2017,JPN,1.078177
2017,USA,2.817631
2018,LAM,1.273007
2018,OAS,7.789616
2018,SSA,0.243561
2018,EUR,14.627952
2018,NEU,2.189015
2018,MEA,1.903397
2018,REF,0.856764
2018,CAZ,0.970444
2018,CHA,17.043324
2018,IND,2.103758
2018,JPN,1.117422
2018,USA,2.840302
2019,LAM,1.272591
2019,OAS,7.761126
2019,SSA,0.256116
2019,EUR,15.388308
2019,NEU,2.410677
2019,MEA,1.924924
2019,REF,0.874144
2019,CAZ,0.925311
2019,CHA,18.023575
2019,IND,2.159569
2019,JPN,1.044812
2019,USA,2.64432
