Time,Region,Good,value
1990,LAM,Plastic Waste,0.0660613105978554
1990,OAS,Plastic Waste,0.107531831258178
1990,SSA,Plastic Waste,0.00317383836256344
1990,EUR,Plastic Waste,0.36984990675076
1990,NEU,Plastic Waste,0.0117674051296409
1990,MEA,Plastic Waste,0.0141207586025353
1990,REF,Plastic Waste,0.00419346542619215
1990,CAZ,Plastic Waste,0.0521288521614101
1990,CHA,Plastic Waste,0.00714296989062806
1990,IND,Plastic Waste,0.00228463427595557
1990,JPN,Plastic Waste,0.173542280083821
1990,USA,Plastic Waste,0.188202747460459
1991,LAM,Plastic Waste,0.0660613105978554
1991,OAS,Plastic Waste,0.107531831258178
1991,SSA,Plastic Waste,0.00317383836256344
1991,EUR,Plastic Waste,0.36984990675076
1991,NEU,Plastic Waste,0.0117674051296409
1991,MEA,Plastic Waste,0.0141207586025353
1991,REF,Plastic Waste,0.00419346542619215
1991,CAZ,Plastic Waste,0.0521288521614101
1991,CHA,Plastic Waste,0.00714296989062806
1991,IND,Plastic Waste,0.00228463427595557
1991,JPN,Plastic Waste,0.173542280083821
1991,USA,Plastic Waste,0.188202747460459
1992,LAM,Plastic Waste,0.0660613105978554
1992,OAS,Plastic Waste,0.107531831258178
1992,SSA,Plastic Waste,0.00317383836256344
1992,EUR,Plastic Waste,0.36984990675076
1992,NEU,Plastic Waste,0.0117674051296409
1992,MEA,Plastic Waste,0.0141207586025353
1992,REF,Plastic Waste,0.00419346542619215
1992,CAZ,Plastic Waste,0.0521288521614101
1992,CHA,Plastic Waste,0.00714296989062806
1992,IND,Plastic Waste,0.00228463427595557
1992,JPN,Plastic Waste,0.173542280083821
1992,USA,Plastic Waste,0.188202747460459
1993,LAM,Plastic Waste,0.0660613105978554
1993,OAS,Plastic Waste,0.107531831258178
1993,SSA,Plastic Waste,0.00317383836256344
1993,EUR,Plastic Waste,0.36984990675076
1993,NEU,Plastic Waste,0.0117674051296409
1993,MEA,Plastic Waste,0.0141207586025353
1993,REF,Plastic Waste,0.00419346542619215
1993,CAZ,Plastic Waste,0.0521288521614101
1993,CHA,Plastic Waste,0.00714296989062806
1993,IND,Plastic Waste,0.00228463427595557
1993,JPN,Plastic Waste,0.173542280083821
