Time,Region,Good,value
1999,IND,Plastic Waste,0.0148908379205116
1999,JPN,Plastic Waste,0.00139471192529399
1999,USA,Plastic Waste,0.0777769009547822
2000,LAM,Plastic Waste,0.0114409800113392
2000,OAS,Plastic Waste,0.0274143837597705
2000,SSA,Plastic Waste,0.00263484587900198
2000,EUR,Plastic Waste,0.161131739563809
2000,NEU,Plastic Waste,0.00683510248623522
2000,MEA,Plastic Waste,0.00757913085577823
2000,REF,Plastic Waste,0.00101158216729237
2000,CAZ,Plastic Waste,0.0307295547231371
2000,CHA,Plastic Waste,0.657160229753048
2000,IND,Plastic Waste,0.0148908379205116
2000,JPN,Plastic Waste,0.00139471192529399
2000,USA,Plastic Waste,0.0777769009547822
2001,LAM,Plastic Waste,0.0114409800113392
2001,OAS,Plastic Waste,0.0274143837597705
2001,SSA,Plastic Waste,0.00263484587900198
2001,EUR,Plastic Waste,0.161131739563809
2001,NEU,Plastic Waste,0.00683510248623522
2001,MEA,Plastic Waste,0.00757913085577823
2001,REF,Plastic Waste,0.00101158216729237
2001,CAZ,Plastic Waste,0.0307295547231371
2001,CHA,Plastic Waste,0.657160229753048
2001,IND,Plastic Waste,0.0148908379205116
2001,JPN,Plastic Waste,0.00139471192529399
2001,USA,Plastic Waste,0.0777769009547822
2002,LAM,Plastic Waste,0.0114409800113392
2002,OAS,Plastic Waste,0.0274143837597705
2002,SSA,Plastic Waste,0.00263484587900198
2002,EUR,Plastic Waste,0.161131739563809
2002,NEU,Plastic Waste,0.00683510248623522
2002,MEA,Plastic Waste,0.00757913085577823
2002,REF,Plastic Waste,0.00101158216729237
2002,CAZ,Plastic Waste,0.0307295547231371
2002,CHA,Plastic Waste,0.657160229753048
2002,IND,Plastic Waste,0.0148908379205116
2002,JPN,Plastic Waste,0.00139471192529399
2002,USA,Plastic Waste,0.0777769009547822
2003,LAM,Plastic Waste,0.0114409800113392
2003,OAS,Plastic Waste,0.0274143837597705
2003,SSA,Plastic Waste,0.00263484587900198
2003,EUR,Plastic Waste,0.161131739563809
2003,NEU,Plastic Waste,0.00683510248623522
2003,MEA,Plastic Waste,0.00757913085577823
2003,REF,Plastic Waste,0.00101158216729237
2003,CAZ,Plastic Waste,0.0307295547231371
2003,CHA,Plastic Waste,0.657160229753048
2003,IND,Plastic Waste,0.0148908379205116
2003,JPN,Plastic Waste,0.00139471192529399
2003,USA,Plastic Waste,0.0777769009547822
2004,LAM,Plastic Waste,0.0114409800113392
2004,OAS,Plastic Waste,0.0274143837597705
2004,SSA,Plastic Waste,0.00263484587900198
2004,EUR,Plastic Waste,0.161131739563809
2004,NEU,Plastic Waste,0.00683510248623522
2004,MEA,Plastic Waste,0.00757913085577823
2004,REF,Plastic Waste,0.00101158216729237
2004,CAZ,Plastic Waste,0.0307295547231371
2004,CHA,Plastic Waste,0.657160229753048
2004,IND,Plastic Waste,0.0148908379205116
2004,JPN,Plastic Waste,0.00139471192529399
2004,USA,Plastic Waste,0.0777769009547822
2005,LAM,Plastic Waste,0.0114409800113392
2005,OAS,Plastic Waste,0.0274143837597705
2005,SSA,Plastic Waste,0.00263484587900198
2005,EUR,Plastic Waste,0.161131739563809
2005,NEU,Plastic Waste,0.00683510248623522
2005,MEA,Plastic Waste,0.00757913085577823
2005,REF,Plastic Waste,0.00101158216729237
2005,CAZ,Plastic Waste,0.0307295547231371
2005,CHA,Plastic Waste,0.657160229753048
2005,IND,Plastic Waste,0.0148908379205116
2005,JPN,Plastic Waste,0.00139471192529399
2005,USA,Plastic Waste,0.0777769009547822
2006,LAM,Plastic Waste,0.0125573428710403
2006,OAS,Plastic Waste,0.0260624139969947
2006,SSA,Plastic Waste,0.00182007674044768
2006,EUR,Plastic Waste,0.169680312928885
2006,NEU,Plastic Waste,0.00850491742807391
2006,MEA,Plastic Waste,0.00460607685255672
2006,REF,Plastic Waste,0.00121828173002334
2006,CAZ,Plastic Waste,0.0261538416333203
2006,CHA,Plastic Waste,0.671411900374842
2006,IND,Plastic Waste,0.0126495615993982
2006,JPN,Plastic Waste,0.00129275739422421
2006,USA,Plastic Waste,0.0640425164501938
2007,LAM,Plastic Waste,0.00810721265166801
2007,OAS,Plastic Waste,0.0272244904264092
2007,SSA,Plastic Waste,0.00260896291842624
2007,EUR,Plastic Waste,0.167807766130457
2007,NEU,Plastic Waste,0.00921454650307079
2007,MEA,Plastic Waste,0.00616643258482595
2007,REF,Plastic Waste,0.00151658099508943
2007,CAZ,Plastic Waste,0.0206339577892218
2007,CHA,Plastic Waste,0.69489323333167
2007,IND,Plastic Waste,0.0182548188776905
2007,JPN,Plastic Waste,0.0012590315586682
2007,USA,Plastic Waste,0.0423129662328033
2008,LAM,Plastic Waste,0.00974938153085887
2008,OAS,Plastic Waste,0.0265269105004626
2008,SSA,Plastic Waste,0.00350759602528691
2008,EUR,Plastic Waste,0.154564107930636
2008,NEU,Plastic Waste,0.00483105420604711
2008,MEA,Plastic Waste,0.00719636662623715
2008,REF,Plastic Waste,0.00147209364194742
2008,CAZ,Plastic Waste,0.0183187180151301
2008,CHA,Plastic Waste,0.718727174288235
2008,IND,Plastic Waste,0.0113290350234357
2008,JPN,Plastic Waste,0.00146365757523139
2008,USA,Plastic Waste,0.0423139046364924
2009,LAM,Plastic Waste,0.00793318573231179
2009,OAS,Plastic Waste,0.0246628619925422
2009,SSA,Plastic Waste,0.00319561332956178
2009,EUR,Plastic Waste,0.163267724116856
2009,NEU,Plastic Waste,0.00305300167373111
2009,MEA,Plastic Waste,0.00464001585034768
2009,REF,Plastic Waste,0.00134430101484264
2009,CAZ,Plastic Waste,0.0136778999345004
2009,CHA,Plastic Waste,0.696228501387141
2009,IND,Plastic Waste,0.0465795305993432
2009,JPN,Plastic Waste,0.00125174011198361
2009,USA,Plastic Waste,0.0341656242568382
2010,LAM,Plastic Waste,0.00837828567543876
2010,OAS,Plastic Waste,0.0284779997040373
2010,SSA,Plastic Waste,0.00278143153252723
2010,EUR,Plastic Waste,0.189250476132598
2010,NEU,Plastic Waste,0.00724567892714545
2010,MEA,Plastic Waste,0.00729941229769729
2010,REF,Plastic Waste,0.00201397136303192
2010,CAZ,Plastic Waste,0.0143045785981873
2010,CHA,Plastic Waste,0.694331026403514
2010,IND,Plastic Waste,0.0116540470498319
2010,JPN,Plastic Waste,0.000908145463959329
2010,USA,Plastic Waste,0.0333549468520313
2011,LAM,Plastic Waste,0.00850980325652723
2011,OAS,Plastic Waste,0.0385486545001143
2011,SSA,Plastic Waste,0.00214905278390843
2011,EUR,Plastic Waste,0.19605673202171
2011,NEU,Plastic Waste,0.0094753911167855
2011,MEA,Plastic Waste,0.00476188168903985
2011,REF,Plastic Waste,0.00202081380071113
2011,CAZ,Plastic Waste,0.0138641038251234
2011,CHA,Plastic Waste,0.68297853612132
2011,IND,Plastic Waste,0.0121822996286076
2011,JPN,Plastic Waste,0.00089420041621141
2011,USA,Plastic Waste,0.0285585308399411
2012,LAM,Plastic Waste,0.00826859125310673
2012,OAS,Plastic Waste,0.0367178108161113
2012,SSA,Plastic Waste,0.00229115928266392
2012,EUR,Plastic Waste,0.170425555418067
2012,NEU,Plastic Waste,0.00774463356227542
2012,MEA,Plastic Waste,0.00500339691466277
2012,REF,Plastic Waste,0.00169426946264587
2012,CAZ,Plastic Waste,0.0138522845456107
2012,CHA,Plastic Waste,0.70686356919252
2012,IND,Plastic Waste,0.0168130287283055
2012,JPN,Plastic Waste,0.000974667186910587
2012,USA,Plastic Waste,0.0293510336371198
2013,LAM,Plastic Waste,0.00818123988156035
2013,OAS,Plastic Waste,0.0577591882823607
2013,SSA,Plastic Waste,0.00306860993124928
2013,EUR,Plastic Waste,0.194637357006848
2013,NEU,Plastic Waste,0.00955006251964105
2013,MEA,Plastic Waste,0.00585318486525906
2013,REF,Plastic Waste,0.00197120943297589
2013,CAZ,Plastic Waste,0.01402795451476
2013,CHA,Plastic Waste,0.649879526736104
2013,IND,Plastic Waste,0.0227530214959946
2013,JPN,Plastic Waste,0.00108093826227421
2013,USA,Plastic Waste,0.0312377070709726
2014,LAM,Plastic Waste,0.00736603185137212
2014,OAS,Plastic Waste,0.0528380331237073
2014,SSA,Plastic Waste,0.00841693673348959
2014,EUR,Plastic Waste,0.167372765271457
2014,NEU,Plastic Waste,0.0116153920875687
2014,MEA,Plastic Waste,0.00441034166692392
2014,REF,Plastic Waste,0.00208201034127902
2014,CAZ,Plastic Waste,0.0174230073173818
2014,CHA,Plastic Waste,0.670607586912598
2014,IND,Plastic Waste,0.0220114629769378
2014,JPN,Plastic Waste,0.00124647469253921
2014,USA,Plastic Waste,0.0346099570247464
2015,LAM,Plastic Waste,0.00565802550444936
2015,OAS,Plastic Waste,0.0520714137664176
2015,SSA,Plastic Waste,0.004492570366582
2015,EUR,Plastic Waste,0.24068439214859
2015,NEU,Plastic Waste,0.00964938638631641
2015,MEA,Plastic Waste,0.00565377380898359
2015,REF,Plastic Waste,0.00333676330688697
2015,CAZ,Plastic Waste,0.0228986506181516
2015,CHA,Plastic Waste,0.604379573383242
2015,IND,Plastic Waste,0.0168107950547876
2015,JPN,Plastic Waste,0.00118197133948439
2015,USA,Plastic Waste,0.0331826843161087
2016,LAM,Plastic Waste,0.00542175891074281
2016,OAS,Plastic Waste,0.051735481375737
2016,SSA,Plastic Waste,0.00273044570418331
2016,EUR,Plastic Waste,0.19324577580401
2016,NEU,Plastic Waste,0.0165918796999682
2016,MEA,Plastic Waste,0.00496967755196073
2016,REF,Plastic Waste,0.00300983527612841
2016,CAZ,Plastic Waste,0.0148621185526124
2016,CHA,Plastic Waste,0.65994046622742
2016,IND,Plastic Waste,0.0140230519592025
2016,JPN,Plastic Waste,0.00106989595319843
2016,USA,Plastic Waste,0.0323996129848361
2017,LAM,Plastic Waste,0.00800775433335654
2017,OAS,Plastic Waste,0.102182676442865
2017,SSA,Plastic Waste,0.00555269849314952
2017,EUR,Plastic Waste,0.2354855955902
2017,NEU,Plastic Waste,0.0268559280192706
2017,MEA,Plastic Waste,0.00571128150759708
2017,REF,Plastic Waste,0.00527726483647743
2017,CAZ,Plastic Waste,0.0156960496503332
2017,CHA,Plastic Waste,0.538343749458282
2017,IND,Plastic Waste,0.0152074598770757
2017,JPN,Plastic Waste,0.00136680397992921
2017,USA,Plastic Waste,0.0403127378114645
2018,LAM,Plastic Waste,0.0139848036742298
2018,OAS,Plastic Waste,0.326695035617385
2018,SSA,Plastic Waste,0.00950299884723332
2018,EUR,Plastic Waste,0.413729500526768
2018,NEU,Plastic Waste,0.0754062610347742
2018,MEA,Plastic Waste,0.0105793109571445
2018,REF,Plastic Waste,0.0177712635837436
2018,CAZ,Plastic Waste,0.0248542648160114
2018,CHA,Plastic Waste,0.00746164722321921
2018,IND,Plastic Waste,0.0318207707491475
2018,JPN,Plastic Waste,0.00237255805977732
2018,USA,Plastic Waste,0.0658215849105656
2019,LAM,Plastic Waste,0.0180468173214934
2019,OAS,Plastic Waste,0.254454905939793
2019,SSA,Plastic Waste,0.0127625889441132
2019,EUR,Plastic Waste,0.527761979515279
2019,NEU,Plastic Waste,0.058511761599729
2019,MEA,Plastic Waste,0.0213546877699219
2019,REF,Plastic Waste,0.0308685594816671
2019,CAZ,Plastic Waste,0.0340034915468359
2019,CHA,Plastic Waste,0.000168793890414711
2019,IND,Plastic Waste,0.0292198048735091
2019,JPN,Plastic Waste,0.00560881752155937
2019,USA,Plastic Waste,0.00723779159568438
2020,LAM,Plastic Waste,0.0203442662623255
2020,OAS,Plastic Waste,0.24284288605489
2020,SSA,Plastic Waste,0.00836231610154238
2020,EUR,Plastic Waste,0.450674322494411
2020,NEU,Plastic Waste,0.143618314049117
