Time,value
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,0
2021,0.026666667
2022,0.053333333
2023,0.08
2024,0.106666667
2025,0.133333333
2026,0.16
2027,0.186666667
2028,0.213333333
2029,0.24
2030,0.266666667
2031,0.293333333
2032,0.32
2033,0.346666667
2034,0.373333333
2035,0.4
2036,0.426666667
2037,0.453333333
2038,0.48
2039,0.506666667
2040,0.533333333
2041,0.56
2042,0.586666667
2043,0.613333333
2044,0.64
2045,0.666666667
2046,0.693333333
2047,0.72
2048,0.746666667
2049,0.773333333
2050,0.8
2051,0.8
2052,0.8
2053,0.8
2054,0.8
2055,0.8
2056,0.8
2057,0.8
2058,0.8
2059,0.8
2060,0.8
2061,0.8
2062,0.8
2063,0.8
2064,0.8
2065,0.8
2066,0.8
2067,0.8
2068,0.8
2069,0.8
2070,0.8
2071,0.8
2072,0.8
2073,0.8
2074,0.8
2075,0.8
2076,0.8
2077,0.8
2078,0.8
2079,0.8
2080,0.8
2081,0.8
2082,0.8
2083,0.8
2084,0.8
2085,0.8
2086,0.8
2087,0.8
2088,0.8
2089,0.8
2090,0.8
2091,0.8
2092,0.8
2093,0.8
2094,0.8
2095,0.8
2096,0.8
2097,0.8
2098,0.8
2099,0.8
2100,0.8
