Material,Element,value
Other,C,0.85
Other,Other Elements,0.15000000000000002
PE,C,0.86
PE,Other Elements,0.14
PET,C,0.63
PET,Other Elements,0.37
PP,C,0.86
PP,Other Elements,0.14
PS,C,0.92
PS,Other Elements,0.07999999999999996
PUR,C,0.6
PUR,Other Elements,0.4
PVC,C,0.39
PVC,Other Elements,0.61
