Time,Region,Good,value
1974,World,Building and Construction,9776000.0
1974,World,Other Uses,13468000.0
1974,World,Packaging,23192000.0
1974,World,Transportation,3536000.0000000005
1973,World,Building and Construction,9588000.0
1973,World,Other Uses,13209000.0
1973,World,Packaging,22746000.0
1973,World,Transportation,3468000.0000000005
1972,World,Building and Construction,8272000.0
1972,World,Other Uses,11396000.0
1972,World,Packaging,19624000.0
1972,World,Transportation,2992000.0
1971,World,Building and Construction,7144000.0
1971,World,Other Uses,9842000.0
1971,World,Packaging,16948000.0
1971,World,Transportation,2584000.0
1970,World,Building and Construction,6580000.0
1970,World,Other Uses,9065000.0
1970,World,Packaging,15610000.0
1970,World,Transportation,2380000.0
1969,World,Building and Construction,6016000.0
1969,World,Other Uses,8288000.0
1969,World,Packaging,14272000.0
1969,World,Transportation,2176000.0
1968,World,Building and Construction,5076000.0
1968,World,Other Uses,6993000.0
1968,World,Packaging,12042000.0
1968,World,Transportation,1836000.0000000002
1967,World,Building and Construction,4324000.0
1967,World,Other Uses,5957000.0
1967,World,Packaging,10258000.0
1967,World,Transportation,1564000.0
1966,World,Building and Construction,3760000.0
1966,World,Other Uses,5180000.0
1966,World,Packaging,8920000.0
1966,World,Transportation,1360000.0
1965,World,Building and Construction,3196000.0
1965,World,Other Uses,4403000.0
1965,World,Packaging,7582000.0
1965,World,Transportation,1156000.0
1964,World,Building and Construction,2820000.0
1964,World,Other Uses,3885000.0
1964,World,Packaging,6690000.0
1964,World,Transportation,1020000.0000000001
1963,World,Building and Construction,2444000.0
1963,World,Other Uses,3367000.0
1963,World,Packaging,5798000.0
1963,World,Transportation,884000.0000000001
1962,World,Building and Construction,2068000.0
1962,World,Other Uses,2849000.0
1962,World,Packaging,4906000.0
1962,World,Transportation,748000.0
1961,World,Building and Construction,1692000.0
1961,World,Other Uses,2331000.0
1961,World,Packaging,4014000.0
1961,World,Transportation,612000.0
1960,World,Building and Construction,1504000.0
1960,World,Other Uses,2072000.0
1960,World,Packaging,3568000.0
1960,World,Transportation,544000.0
1959,World,Building and Construction,1316000.0
1959,World,Other Uses,1813000.0
1959,World,Packaging,3122000.0
1959,World,Transportation,476000.00000000006
1958,World,Building and Construction,1128000.0
1958,World,Other Uses,1554000.0
1958,World,Packaging,2676000.0
1958,World,Transportation,408000.00000000006
1957,World,Building and Construction,940000.0
1957,World,Other Uses,1295000.0
1957,World,Packaging,2230000.0
1957,World,Transportation,340000.0
1956,World,Building and Construction,940000.0
1956,World,Other Uses,1295000.0
1956,World,Packaging,2230000.0
1956,World,Transportation,340000.0
1955,World,Building and Construction,752000.0
1955,World,Other Uses,1036000.0
1955,World,Packaging,1784000.0
1955,World,Transportation,272000.0
1954,World,Building and Construction,564000.0
1954,World,Other Uses,777000.0
1954,World,Packaging,1338000.0
1954,World,Transportation,204000.00000000003
1953,World,Building and Construction,564000.0
1953,World,Other Uses,777000.0
1953,World,Packaging,1338000.0
1953,World,Transportation,204000.00000000003
1952,World,Building and Construction,376000.0
1952,World,Other Uses,518000.0
1952,World,Packaging,892000.0
1952,World,Transportation,136000.0
1951,World,Building and Construction,376000.0
1951,World,Other Uses,518000.0
1951,World,Packaging,892000.0
1951,World,Transportation,136000.0
1950,World,Building and Construction,376000.0
1950,World,Other Uses,518000.0
1950,World,Packaging,892000.0
1950,World,Transportation,136000.0
