Material,Time,value
PE,2058,0.6
PE,2059,0.6
PE,2060,0.6
PE,2061,0.6
PE,2062,0.6
PE,2063,0.6
PE,2064,0.6
PE,2065,0.6
PE,2066,0.6
PE,2067,0.6
PE,2068,0.6
PE,2069,0.6
PE,2070,0.6
PE,2071,0.6
PE,2072,0.6
PE,2073,0.6
PE,2074,0.6
PE,2075,0.6
PE,2076,0.6
PE,2077,0.6
PE,2078,0.6
PE,2079,0.6
PE,2080,0.6
PE,2081,0.6
PE,2082,0.6
PE,2083,0.6
PE,2084,0.6
PE,2085,0.6
PE,2086,0.6
PE,2087,0.6
PE,2088,0.6
PE,2089,0.6
PE,2090,0.6
PE,2091,0.6
PE,2092,0.6
PE,2093,0.6
PE,2094,0.6
PE,2095,0.6
PE,2096,0.6
PE,2097,0.6
PE,2098,0.6
PE,2099,0.6
PE,2100,0.6
PET,1950,0.2
PET,1951,0.2
PET,1952,0.2
PET,1953,0.2
PET,1954,0.2
PET,1955,0.2
PET,1956,0.2
PET,1957,0.2
PET,1958,0.2
PET,1959,0.2
PET,1960,0.2
PET,1961,0.2
PET,1962,0.2
PET,1963,0.2
PET,1964,0.2
PET,1965,0.2
PET,1966,0.2
PET,1967,0.2
PET,1968,0.2
PET,1969,0.2
PET,1970,0.2
PET,1971,0.2
PET,1972,0.2
PET,1973,0.2
PET,1974,0.2
PET,1975,0.2
PET,1976,0.2
PET,1977,0.2
PET,1978,0.2
PET,1979,0.2
PET,1980,0.2
PET,1981,0.2
PET,1982,0.2
PET,1983,0.2
PET,1984,0.2
PET,1985,0.2
PET,1986,0.2
PET,1987,0.2
PET,1988,0.2
PET,1989,0.2
PET,1990,0.2
PET,1991,0.2
PET,1992,0.2
PET,1993,0.2
PET,1994,0.2
PET,1995,0.2
PET,1996,0.2
PET,1997,0.2
PET,1998,0.2
PET,1999,0.2
PET,2000,0.2
PET,2001,0.2
PET,2002,0.2
PET,2003,0.2
PET,2004,0.2
PET,2005,0.2
PET,2006,0.2
PET,2007,0.2
PET,2008,0.2
PET,2009,0.2
PET,2010,0.2
PET,2011,0.2
PET,2012,0.2
PET,2013,0.2
PET,2014,0.2
PET,2015,0.2
PET,2016,0.2
PET,2017,0.2
PET,2018,0.2
PET,2019,0.2
PET,2020,0.2
PET,2021,0.21333333333333335
