Dimensions,Name,Description
"r, u",end_use_split,Split of cement production into different end uses.
"h, r",cement_production,Historic cement production volume for each region and year.
"h, r",clinker_ratio,Historic clinker-to-cement ratio for each region.
"h, r, u",lifetime_mean,Mean lifetime of historic cement stocks by region and end use.
,lifetime_rel_std,Relative standard deviation of lifetime of cement in buildings and infrastructure.
"h, r",clinker_imports,Historic clinker imports for each region and year.
"h, r",clinker_exports,Historic clinker exports for each region and year.
"h, r",cement_imports,Historic cement imports for each region and year.
"h, r",cement_exports,Historic cement exports for each region and year.
"t, r, S",population,Historic and projected population for each region and model year.
"t, r, S",gdppc,Historic and projected GDP per capita for each region and model year.
,cement_losses,Share of cement lost during construction.
,clinker_losses,Share of clinker lost during clinker production.
"r, m",cement_ratio,Share of product mass that is cement for each product material.
"r, m",product_material_split,Share of product output allocated to each material by region.
,clinker_cao_ratio,Mass fraction of CaO contained in clinker.
m,cao_carbonation_share,Share of CaO that is available for carbonation per material.
,cao_emission_factor,Process CO2 emission factor from producing CaO.
,ckd_cao_ratio,CaO content ratio present in cement kiln dust.
,ckd_landfill_share,Share of cement kiln dust disposed to landfill.
"r, a",carbonation_rate,Carbonation rate for exposed stocks by region and application.
"r, a",carbonation_rate_buried,Carbonation rate for buried stocks by region and application.
,carbonation_rate_coating,Carbonation rate modifier factoring in coated cement products.
,carbonation_rate_co2,Carbonation rate modifier factoring in increased atmospheric CO2 concentrations.
,carbonation_rate_additives,Carbonation rate modifier factoring in cement additives.
a,product_thickness,Average thickness assumed for each product application.
"r, m, a",material_application_split,"Share of each product material distributed across product applications, by region."
"r, w",waste_type_split,Share of end-of-life cement flows by waste type and region.
"r, w, p",waste_size_share,Share of waste distributed across size classes per region and type.
"w, p",waste_size_min,Minimum particle size represented for each waste type and class.
"w, p",waste_size_max,Maximum particle size represented for each waste type and class.
"t, r, S, c",floorspace,Historic and projected total buildings floorspace per region and common end use (Res/Com).
"r, d",dwelling_split,Split of residential floor area into single- (RS) and multi-family (RM) homes.
"r, b, s",structure_split,Split of building end uses into different structure types per region.
"r, b, s",concrete_building_mi,Material intensity of concrete (t/m2) differentiated by building end use and structure.
r,hibernating_stock_share,Share of building stock that is hibernating (built but unused and not demolished).
